Reference,Qty,Description,Value,Manufacturer Part Number,Manufacturer
R21,1,RES 10K 1% 0.1W 0603,10K,RC0603FR-0710KL,Yageo
R22,1,RES 1M 1% 0.1W 0603,1M,RC0603FR-071ML,Yageo
R23,1,RES 1M 1% 0.1W 0603,1M,RC0603FR-071ML,Yageo
R24,1,RES 1M 1% 0.1W 0603,1M,RC0603FR-071ML,Yageo
R25,1,RES 1M 1% 0.1W 0603,1M,RC0603FR-071ML,Yageo
R26,1,RES 10K 1% 0.1W 0603,10K,RC0603FR-0710KL,Yageo
R27,1,RES 1M 1% 0.1W 0603,1M,RC0603FR-071ML,Yageo
R28,1,RES 1M 1% 0.1W 0603,1M,RC0603FR-071ML,Yageo
R29,1,RES 1M 1% 0.1W 0603,1M,RC0603FR-071ML,Yageo
R30,1,RES 1M 1% 0.1W 0603,1M,RC0603FR-071ML,Yageo
R31,1,RES 21K 1% 0.1W 0603,21K,RC0603FR-0721KL,Yageo
R32,1,RES 13K7 1% 0.1W 0603,13K7,RC0603FR-0713K7L,Yageo
R33,1,Trimme 10k SMT,10K,TC33X-2-103E,Bourns
R34,1,RES 10K 1% 0.1W 0603,10K,RC0603FR-0710KL,Yageo
R35,1,RES 1K 1% 0.1W 0603,1K,RC0603FR-071KL,Yageo
S1,1,Push button 3.2mm x 3.2mm,434123025826,434123025826,Wuerth Elektronik
TP1,1,Test Hook Black THT,5001,5001,Keystone Electronics
TP2,1,Test Hook Black THT,5001,5001,Keystone Electronics
TP3,1,Test Hook Black THT,5001,5001,Keystone Electronics
TP4,1,Test Hook Black THT,5001,5001,Keystone Electronics
TP5,1,Test Hook Black THT,5001,5001,Keystone Electronics
U1,1,I2S DAC Stereo 32bit 384kHz,PCM5100A,PCM5100A,Texas Instruments
U2,1,ESP32 WROOM 32 8MB flash,ESP32-WROOM-32U,ESP32-WROOM-32UE-N8,Espressif Systems
U3,1,Quad Operational Amplifier,TLV4888DR,TLV4888DR,Texas Instruments
U4,1,"3V to 36V Input, 1V to 6V Output, 1.5A, Synchronous Buck Converter Power Module",TLVM23615RDNR,TLVM23615RDNR,Texas Instruments
U5,1,"3V to 36V Input, 1V to 6V Output, 1.5A, Synchronous Buck Converter Power Module",TLVM23615RDNR,TLVM23615RDNR,Texas Instruments
U6,1,LDO 150mA 2.5V-20 Uin Adj.,RAA214220,RAA2142204GP3#JA0,Renesas
